id,title,authors,published_date,query,collected_at
1,Self Care,"[""Leigh Stein""]",2020-06-30,booktok,2025-05-28T10:39:16.953335
2,Brood,"[""Jackie Polzin""]",2021-03-09,booktok,2025-05-28T10:39:16.953335
4,"Social Reading Cultures on BookTube, Bookstagram, and BookTok","[""Bronwyn Reddan"", ""Leonie Rutherford"", ""Amy Schoonens"", ""Michael Dezuanni""]",2024-04-30,booktok,2025-05-28T10:39:16.953335
5,# BookTok Journal for 25 Books,"[""BookTok BookTok Press""]",2021-10-22,booktok,2025-05-28T10:39:16.953335
6,The Reading Lives of Teens,"[""Chin Ee Loh""]",2024-11-04,booktok,2025-05-28T10:39:16.953335
7,#BookTok Journal,"[""Gold ATOM""]",2021-11-24,booktok,2025-05-28T10:39:16.953335
8,Atravesados,"[""Trevor Boffone"", ""Cristina Herrera""]",2025-02-17,booktok,2025-05-28T10:39:16.953335
9,Living Rent Free In My Head,"[""Dominique Davis""]",2022-08-02,booktok,2025-05-28T10:39:16.953335
10,BookTok Journal for 200 Books,"[""Magizh Publications""]",2021-11-23,booktok,2025-05-28T10:39:16.953335
13,An All-in-One Guide to Become a Bestseller,"[""Ukiyoto""]",2023-05-05,bestseller,2025-05-28T10:39:19.487221
15,Writing Bestsellers,"[""Kim Wilkins"", ""Lisa Bennett""]",2021-10-21,bestseller,2025-05-28T10:39:19.487221
18,"Space, Place, and Bestsellers","[""Lisa Fletcher"", ""Elizabeth Leane""]",2024-06-30,bestseller,2025-05-28T10:39:19.487221
19,Bestsellers of the Third Reich,"[""Christian Adam""]",2021-04-01,bestseller,2025-05-28T10:39:19.487221
20,Corporate Compliance and Conformity,"[""Petter Gottschalk""]",2023-03-10,bestseller,2025-05-28T10:39:19.487221
22,Next Level Basic,"[""Stassi Schroeder""]",2022-09-06,nyt bestseller,2025-05-28T10:39:22.190837
24,The Paris Apartment,"[""Lucy Foley""]",2022-02-22,nyt bestseller,2025-05-28T10:39:22.190837
